id;processStep;stepStatus;criticality;incident_ID;stepStartDate;stepEndDate
2feec9ec-c192-48c6-8971-e3c4838cb802;Incident Record Review;Done;3;2feec9ec-c192-48c6-8971-e3c4838cb861;2020-06-15;2020-06-30
2feec9ec-c192-48c6-8971-e3c4838cb803;Incident Investigation;Blocked;1;2feec9ec-c192-48c6-8971-e3c4838cb861;2020-06-20;2020-08-31
2feec9ec-c192-48c6-8971-e3c4838cb804;Incident Report Generation;Open;2;2feec9ec-c192-48c6-8971-e3c4838cb861;2020-08-31;2020-09-15
2feec9ec-c192-48c6-8971-e3c4838cb811;Incident Reporting;Done;3;919f1a94-0281-4226-ad3a-9148af4cb5d2;2020-06-07;2020-06-21
2feec9ec-c192-48c6-8971-e3c4838cb812;Incident Record Review;Done;3;919f1a94-0281-4226-ad3a-9148af4cb5d2;2020-06-20;2020-07-05
2feec9ec-c192-48c6-8971-e3c4838cb813;Incident Investigation;Blocked;1;919f1a94-0281-4226-ad3a-9148af4cb5d2;2020-07-05;2020-09-11
2feec9ec-c192-48c6-8971-e3c4838cb814;Incident Report Generation;Open;2;919f1a94-0281-4226-ad3a-9148af4cb5d2;2020-08-31;2020-09-15
2feec9ec-c192-48c6-8971-e3c4838cb821;Incident Reporting;Done;3;f1c73988-bc83-4b5b-8169-80a946852c9a;2020-06-12;2020-06-26
2feec9ec-c192-48c6-8971-e3c4838cb822;Incident Record Review;Done;3;f1c73988-bc83-4b5b-8169-80a946852c9a;2020-06-24;2020-07-05
2feec9ec-c192-48c6-8971-e3c4838cb823;Incident Investigation;Blocked;1;f1c73988-bc83-4b5b-8169-80a946852c9a;2020-07-05;2020-09-11
2feec9ec-c192-48c6-8971-e3c4838cb824;Incident Report Generation;Open;2;f1c73988-bc83-4b5b-8169-80a946852c9a;2020-09-09;2020-09-15
2feec9ec-c192-48c6-8971-e3c4838cb831;Incident Reporting;Done;3;4e507caf-c53d-445b-abf9-341839aec969;2020-06-18;2020-07-02
2feec9ec-c192-48c6-8971-e3c4838cb832;Incident Record Review;Done;3;4e507caf-c53d-445b-abf9-341839aec969;2020-06-29;2020-07-05
2feec9ec-c192-48c6-8971-e3c4838cb833;Incident Investigation;Blocked;1;4e507caf-c53d-445b-abf9-341839aec969;2020-07-05;2020-09-05
